report,categoria,regione,popolazione,prima_dose,seconda_dose
20210402,70-79,LAZ,573178,104298,12140
20210402,70-79,LIG,184550,17410,3260
20210402,70-79,LOM,1006561,44284,23081
20210402,70-79,MAR,157486,5993,2464
20210402,70-79,MOL,30901,3002,587
20210402,70-79,PAB,47258,9855,1139
20210402,70-79,PAT,51800,9993,1141
20210402,70-79,PIE,477148,23647,10952
20210402,70-79,PUG,405212,8192,4443
20210402,70-79,SAR,175751,11587,2770
20210402,70-79,SIC,476607,90047,7047
20210402,70-79,TOS,410893,58715,6973
20210402,70-79,UMB,96920,2489,1177
20210402,70-79,VDA,12966,1975,366
20210402,70-79,VEN,494443,93099,9022
20210402,rsa,ABR,4500,4185,4185
20210402,rsa,BAS,2600,2202,2202
20210402,rsa,CAL,11778,11778,11778
20210402,rsa,CAM,8568,7623,7623
20210402,rsa,EMR,28894,25729,25729
20210402,rsa,FVG,8600,8563,8563
20210402,rsa,LAZ,20879,20866,20866
20210402,rsa,LIG,12500,10901,10901
20210402,rsa,LOM,62562,62562,62562
20210402,rsa,MAR,6388,6388,6388
20210402,rsa,MOL,2359,2359,2359
20210402,rsa,PAB,4518,2746,2746
20210402,rsa,PAT,4250,4250,4250
20210402,rsa,PIE,32382,31770,31770
20210402,rsa,PUG,17955,13557,13557
20210402,rsa,SAR,9000,8869,8869
20210402,rsa,SIC,32000,21650,21650
20210402,rsa,TOS,19179,19179,19179
20210402,rsa,UMB,4795,4470,4470
20210402,rsa,VDA,1035,700,700
20210402,rsa,VEN,51549,39304,39304
20210402,sanitari,ABR,35000,34208,28038
20210402,sanitari,BAS,13000,11825,10454
20210402,sanitari,CAL,46862,39820,37451
20210402,sanitari,CAM,98441,98441,87304
20210402,sanitari,EMR,187357,140325,121223
20210402,sanitari,FVG,47625,33924,31186
20210402,sanitari,LAZ,208032,208032,121071
20210402,sanitari,LIG,65000,48141,38471
20210402,sanitari,LOM,287905,287905,229272
20210402,sanitari,MAR,35988,35613,33786
20210402,sanitari,MOL,8105,7978,6169
20210402,sanitari,PAB,11000,11000,11203
20210402,sanitari,PAT,16500,14924,11946
20210402,sanitari,PIE,142000,132639,121533
20210402,sanitari,PUG,140000,115705,99264
20210402,sanitari,SAR,46583,46583,36598
20210402,sanitari,SIC,141318,116120,109130
20210402,sanitari,TOS,122007,122007,114472
20210402,sanitari,UMB,27034,24024,19089
20210402,sanitari,VDA,3225,3225,2953
20210402,sanitari,VEN,124320,124320,108042
20210402,scolastici,ABR,30000,26947,423
20210402,scolastici,BAS,15772,9283,39
20210402,scolastici,CAL,46350,18446,144
20210402,scolastici,CAM,183278,133759,2483
20210402,scolastici,EMR,110252,72822,197
20210402,scolastici,FVG,25000,22527,20
20210402,scolastici,LAZ,128327,108660,293
20210402,scolastici,LIG,40000,12686,112
20210402,scolastici,LOM,218704,168067,508
20210402,scolastici,MAR,36812,15626,295
20210402,scolastici,MOL,7241,7241,52
20210402,scolastici,PAB,21348,10832,47
20210402,scolastici,PAT,13000,6562,60
20210402,scolastici,PIE,120000,69967,401
20210402,scolastici,PUG,110000,95160,1497
20210402,scolastici,SAR,44105,17852,50
20210402,scolastici,SIC,140000,68814,562
20210402,scolastici,TOS,80000,63137,192
20210402,scolastici,UMB,27994,18180,49
20210402,scolastici,VDA,2000,1238,252
20210402,scolastici,VEN,103434,77190,1230
20210326,over80,ABR,117724,56264,21769
20210326,over80,BAS,46235,23873,16126
20210326,over80,CAL,153062,59532,19950
20210326,over80,CAM,304317,150881,84796
20210326,over80,EMR,380644,202037,114885
20210326,over80,FVG,105917,49763,29736
20210326,over80,LAZ,440000,229694,121272
20210326,over80,LIG,159558,71883,36993
20210326,over80,LOM,765259,362311,132206
20210326,over80,MAR,136193,73556,37584
20210326,over80,MOL,27222,17300,7494
20210326,over80,PAB,38748,23143,13846
20210326,over80,PAT,38177,24344,15795
20210326,over80,PIE,379802,198850,83443
20210326,over80,PUG,281886,135617,48717
20210326,over80,SAR,124768,48293,7889
20210326,over80,SIC,342909,123837,61244
20210326,over80,TOS,331921,107673,34757
20210326,over80,UMB,86402,35734,14315
20210326,over80,VDA,8623,4639,2562
20210326,over80,VEN,370564,174558,77941
20210326,70-79,ABR,134480,2669,1609
20210326,70-79,BAS,53387,855,691
20210326,70-79,CAL,185708,10255,3279
20210326,70-79,CAM,484380,28309,6289
20210326,70-79,EMR,456111,37446,9278
20210326,70-79,FVG,140186,4337,2296
20210326,70-79,LAZ,573178,54356,8805
20210326,70-79,LIG,184550,5738,3033
20210326,70-79,LOM,1006561,36338,17620
20210326,70-79,MAR,157486,3285,2218
20210326,70-79,MOL,30901,1335,512
20210326,70-79,PAB,47258,7582,924
20210326,70-79,PAT,52499,5761,1053
20210326,70-79,PIE,477148,13183,10603
20210326,70-79,PUG,405212,5799,4019
20210326,70-79,SAR,175751,7280,2261
20210326,70-79,SIC,476607,59290,6662
20210326,70-79,TOS,410893,31228,6571
20210326,70-79,UMB,96920,1603,1120
20210326,70-79,VDA,12966,708,358
20210326,70-79,VEN,498896,34870,7111
20210326,rsa,ABR,4500,4041,3421
20210326,rsa,BAS,2600,2201,2146
20210326,rsa,CAL,11333,11333,5580
20210326,rsa,CAM,8568,7343,5851
20210326,rsa,EMR,28894,25331,21819
20210326,rsa,FVG,10755,8297,6141
20210326,rsa,LAZ,20879,19746,16516
20210326,rsa,LIG,12500,10468,8629
20210326,rsa,LOM,59595,59595,49144
20210326,rsa,MAR,6307,6217,4333
20210326,rsa,MOL,2345,2293,2096
20210326,rsa,PAB,4518,2647,2887
20210326,rsa,PAT,4100,4075,3629
20210326,rsa,PIE,30139,30139,26664
20210326,rsa,PUG,17955,12840,10590
20210326,rsa,SAR,9000,8430,5231
20210326,rsa,SIC,32000,20484,14895
20210326,rsa,TOS,18205,18205,14622
20210326,rsa,UMB,4320,4291,3041
20210326,rsa,VDA,1035,700,538
20210326,rsa,VEN,51549,36913,29954
20210326,sanitari,ABR,35000,32898,27196
20210326,sanitari,BAS,13000,11314,10375
20210326,sanitari,CAL,46862,38789,36272
20210326,sanitari,CAM,178004,96996,86504
20210326,sanitari,EMR,187357,136365,119950
20210326,sanitari,FVG,47625,32871,30750
20210326,sanitari,LAZ,183183,183183,117985
20210326,sanitari,LIG,65000,46068,37638
20210326,sanitari,LOM,274676,274676,224072
20210326,sanitari,MAR,35244,33882,33243
20210326,sanitari,MOL,8105,7463,6060
20210326,sanitari,PAB,10778,10234,10171
20210326,sanitari,PAT,14307,14307,11255
20210326,sanitari,PIE,168457,128727,119159
20210326,sanitari,PUG,140000,110517,95350
20210326,sanitari,SAR,44456,44456,35295
20210326,sanitari,SIC,141318,113768,106329
20210326,sanitari,TOS,121871,121285,113796
20210326,sanitari,UMB,36321,22525,18407
20210326,sanitari,VDA,3163,3148,2929
20210326,sanitari,VEN,121381,121381,101863
20210326,scolastici,ABR,30000,25398,81
20210326,scolastici,BAS,6000,5188,5
20210326,scolastici,CAL,46350,9212,89
20210326,scolastici,CAM,182812,124353,1862
20210326,scolastici,EMR,110252,63450,125
20210326,scolastici,FVG,25000,19006,17
20210326,scolastici,LAZ,128327,97842,166
20210326,scolastici,LIG,40000,7095,105
20210326,scolastici,LOM,218704,120804,301
20210326,scolastici,MAR,36812,13062,127
20210326,scolastici,MOL,7196,5485,26
20210326,scolastici,PAB,21348,10622,31
20210326,scolastici,PAT,13000,5064,51
20210326,scolastici,PIE,120000,58491,245
20210326,scolastici,PUG,110000,88647,828
20210326,scolastici,SAR,44105,8944,25
20210326,scolastici,SIC,140000,65806,389
20210326,scolastici,TOS,80000,58510,185
20210326,scolastici,UMB,27994,16770,18
20210326,scolastici,VDA,2000,960,252
20210326,scolastici,VEN,103434,70101,671
